dao,space_id,proposal_id,proposal_title,num_voters,total_voting_power,gini_coefficient,top10_share
ENS,ens.eth,0xf0ad5ad5a1ee353a65424a83e74f2b8846b16885a4be99af26b5162bfa78c644,[6.31] [Temp Check] Delegation Incentives Program,105,1485803.94,0.875,0.7534
ENS,ens.eth,0x8d16992852893f05b23b0e26de27c9e6b2a8de1193c991e14f81ef13cd943517,[6.26] [Social] ENS Retro: An ENS DAO Retrospective & Stakeholder Analysis,109,1893160.96,0.8588,0.6908
ENS,ens.eth,0xbc44d9714ee818da49c25998cabdbe745f939fef74923255c3571a00e8977e5d,[6.25] [Social] Replace the Working Groups with the ENS Admin Panel,109,2145796.91,0.8397,0.6429
ENS,ens.eth,0x7b603c5ada65cfcdbdfec9a33352edf731615fe96fbcc09daa7aa97b327e15ce,[6.24.3] [Social] Funding Request - ENS Public Goods Working Group Term 6 (Oct. ,88,1250052.05,0.8783,0.8308
ENS,ens.eth,0x9b3f5463e52aadc35155e686f8416297b24e6c7e30cb527747e61cf17b42a5f6,[6.24.2] [Social] Funding Request: ENS Ecosystem Working Group (Oct. Window),88,1375141.42,0.8618,0.7652
Gitcoin,gitcoindao.eth,0x5da28c1533e828590e427366aec43cc1fac3a18525a285b0f85d6dac93111709,[Proposal] Gitcoin × Octant Yield-Powered Matching Pilot,481,4182033.81,0.9942,0.9992
Gitcoin,gitcoindao.eth,0x7b139f41e2ebce0bf0e833f85943e7c6642a640dba6facc526524878ddf270a1,Gitcoin DAO 2026 Budget Request,541,3104968.38,0.9964,0.9988
Gitcoin,gitcoindao.eth,0x1c2875456a8696d35c8bf0ec1477500efcaa6f710e3ee1207832899d99941b0b,[Proposal]: Disengagement of Avantgarde from Matching Pool Asset Management & St,484,3668385.47,0.9949,0.999
Gitcoin,gitcoindao.eth,0x3cbec1d4a3d46e45f0abebe4b3c9b3cc621026293b50ed5f8fa6df8faa558003,[Proposal]: Disengagement of Avantgarde as Treasury Asset Manager,482,3668384.37,0.9949,0.999
Gitcoin,gitcoindao.eth,0x563e16e0e9b5cd722bff424624f391c5a160a7323a56434deca782bfc7c97d22,[TEMP CHECK] Withdrawing remaining fees from PGN back to the Gitcoin Foundation ,673,3442842.71,0.9958,0.9984
Uniswap,uniswapgovernance.eth,0x48e56786fd4ab27c5b089b45be1e914d4a3a0f9d067ac51eff0b26a882e49bde,[RFC] Governance Process Upgrade: Establishing a Statute of Limitations for Temp,133,5753874.47,0.9804,0.998
Uniswap,uniswapgovernance.eth,0x0242a914c60945d25873d2a98c6abd9f69cb889c6616e27f3c0ab759f9e8d783,[Temp Check] Protocol Fee Expansion: Eight More Chains and Remaining Mainnet V3 ,150,35153339.79,0.958,0.9897
